Sample 0: Input=[[0 1 0 0] [0 0 1 1] [0 0 1 0] [1 1 0 1]], Label=4
Sample 20: Input=[[0 1 0 0] [1 0 0 0] [0 1 1 0] [1 0 0 0]], Label=3
Sample 21: Input=[[1 1 0 0] [1 0 1 0] [1 1 0 1] [1 1 1 0]], Label=5
Sample 22: Input=[[1 1 1 1] [0 0 1 0] [1 0 1 0] [0 1 1 1]], Label=3
Sample 23: Input=[[1 0 1 0] [0 1 1 0] [0 1 0 1] [0 0 0 0]], Label=6
Sample 24: Input=[[1 0 0 1] [0 0 0 0] [1 1 0 1] [1 0 1 0]], Label=7
Sample 25: Input=[[1 0 1 1] [0 1 1 1] [0 1 0 1] [1 1 1 1]], Label=3
Sample 26: Input=[[0 0 0 1] [0 0 0 0] [1 0 0 1] [0 0 1 1]], Label=6
Sample 27: Input=[[1 1 1 0] [0 1 0 1] [1 0 1 1] [0 0 1 0]], Label=1
Sample 28: Input=[[1 0 0 1] [1 0 0 0] [1 1 1 0] [0 1 0 1]], Label=4
Sample 29: Input=[[0 0 1 0] [1 0 0 1] [1 1 0 0] [1 1 0 1]], Label=1
Sample 30: Input=[[1 0 1 0] [1 1 1 0] [0 0 1 0] [1 0 0 0]], Label=4
Sample 31: Input=[[0 0 0 0] [1 0 1 1] [1 1 1 0] [1 1 1 1]], Label=5
Sample 32: Input=[[0 1 1 0] [0 0 1 1] [0 1 0 1] [0 0 0 0]], Label=5
Sample 33: Input=[[1 0 1 0] [1 1 0 1] [0 0 1 0] [0 1 1 1]], Label=7
Sample 34: Input=[[0 1 0 1] [1 0 0 1] [1 0 0 0] [0 0 1 1]], Label=4
Sample 35: Input=[[0 1 0 0] [0 1 0 0] [0 1 0 1] [1 0 1 1]], Label=1
Sample 36: Input=[[0 0 0 0] [1 0 1 1] [0 0 0 1] [1 0 1 0]], Label=4
Sample 37: Input=[[1 1 1 0] [1 0 0 0] [1 1 1 1] [1 1 0 0]], Label=8
Sample 38: Input=[[1 1 1 0] [1 1 1 1] [1 1 1 1] [0 1 1 1]], Label=4
Sample 39: Input=[[1 0 0 0] [0 0 0 1] [1 0 1 1] [1 0 1 0]], Label=7
Sample 40: Input=[[0 0 0 0] [1 0 0 0] [1 1 1 0] [0 0 0 0]], Label=6
Sample 41: Input=[[0 1 0 1] [1 1 1 1] [1 0 0 1] [0 0 1 1]], Label=0
Sample 42: Input=[[1 1 0 1] [0 1 0 1] [1 1 1 0] [1 1 1 0]], Label=0
Sample 43: Input=[[1 0 0 1] [1 0 1 1] [1 0 0 1] [0 0 1 0]], Label=4
Sample 44: Input=[[0 0 1 0] [1 1 0 0] [0 0 0 1] [0 1 0 1]], Label=7
Sample 45: Input=[[1 1 0 0] [1 0 1 1] [0 0 1 1] [1 0 0 0]], Label=7
Sample 46: Input=[[1 1 0 1] [0 0 1 1] [1 0 1 1] [1 1 1 0]], Label=3
Sample 47: Input=[[1 0 0 0] [0 0 0 0] [1 1 1 1] [0 0 1 0]], Label=0
Sample 48: Input=[[0 0 0 0] [1 0 0 0] [0 1 0 1] [1 1 0 0]], Label=1
Sample 49: Input=[[0 0 0 1] [0 0 0 0] [0 1 0 1] [1 0 1 1]], Label=1
Sample 50: Input=[[0 1 0 0] [0 1 1 0] [1 1 0 0] [0 0 1 1]], Label=8
Sample 51: Input=[[1 0 1 1] [1 0 0 1] [0 1 1 0] [1 1 0 0]], Label=7
Sample 52: Input=[[1 0 0 1] [0 0 0 0] [1 0 0 1] [1 0 1 0]], Label=5
Sample 53: Input=[[1 0 1 0] [1 1 0 0] [1 1 1 1] [0 1 1 0]], Label=7
Sample 54: Input=[[0 0 0 0] [0 1 0 1] [0 0 1 0] [0 1 0 0]], Label=7
Sample 55: Input=[[0 1 0 0] [0 0 1 1] [0 1 1 1] [1 0 1 1]], Label=1
Sample 56: Input=[[1 1 1 0] [0 0 0 0] [1 1 0 0] [0 0 0 0]], Label=7
Sample 57: Input=[[1 0 1 1] [0 0 0 1] [1 1 1 0] [1 1 1 1]], Label=1
Sample 58: Input=[[1 1 0 0] [0 0 0 0] [1 1 1 0] [0 0 1 0]], Label=6
Sample 59: Input=[[1 1 1 1] [1 0 1 1] [0 1 1 1] [1 1 1 0]], Label=3
Sample 60: Input=[[0 1 0 0] [0 0 1 1] [1 1 0 0] [1 0 1 1]], Label=0
Sample 61: Input=[[1 0 1 1] [1 0 1 1] [0 1 0 0] [0 1 1 1]], Label=5
Sample 62: Input=[[1 0 0 1] [0 1 0 1] [0 1 0 0] [0 1 0 0]], Label=7
Sample 63: Input=[[1 1 0 1] [0 0 0 1] [0 1 0 0] [0 1 0 1]], Label=1
Sample 64: Input=[[1 1 0 1] [1 0 0 0] [0 0 1 1] [0 1 1 0]], Label=8
Sample 65: Input=[[0 1 1 1] [1 0 0 1] [1 0 0 0] [1 0 1 0]], Label=1
Sample 66: Input=[[0 0 0 1] [1 1 0 1] [1 0 1 0] [0 1 1 0]], Label=1
Sample 67: Input=[[0 1 1 1] [1 1 1 1] [1 1 1 1] [0 1 0 0]], Label=6
Sample 68: Input=[[1 1 1 1] [0 0 0 1] [0 0 0 0] [1 0 1 0]], Label=8
Sample 69: Input=[[0 1 1 1] [1 1 0 0] [0 0 0 1] [0 1 1 1]], Label=3
Sample 70: Input=[[0 0 0 1] [0 0 1 1] [1 0 0 1] [0 0 0 1]], Label=2
Sample 71: Input=[[0 1 1 1] [0 0 1 1] [0 0 0 1] [0 1 1 1]], Label=5
Sample 72: Input=[[1 1 0 1] [0 0 0 1] [1 0 0 0] [1 0 0 1]], Label=6
Sample 73: Input=[[0 1 0 1] [1 1 1 0] [1 0 1 1] [1 1 1 1]], Label=2
Sample 74: Input=[[0 1 1 0] [0 0 0 1] [0 0 1 0] [1 0 1 1]], Label=6
Sample 75: Input=[[1 0 0 1] [1 1 1 0] [1 1 0 0] [0 0 0 1]], Label=8
Sample 76: Input=[[0 1 0 0] [1 1 1 1] [1 0 1 1] [1 1 1 1]], Label=7
Sample 77: Input=[[1 0 0 0] [1 1 1 0] [1 1 0 0] [0 1 0 0]], Label=5
Sample 78: Input=[[1 1 0 0] [0 0 0 0] [1 0 1 0] [0 1 1 0]], Label=4
Sample 79: Input=[[0 0 0 0] [0 0 1 1] [0 1 0 1] [1 1 0 0]], Label=1
Sample 80: Input=[[1 1 0 0] [0 1 1 0] [0 0 1 0] [1 0 1 1]], Label=6
Sample 81: Input=[[0 0 1 1] [0 1 0 0] [0 1 0 1] [0 0 0 0]], Label=2
Sample 82: Input=[[0 1 0 1] [0 1 0 1] [0 1 1 1] [0 1 1 0]], Label=6
Sample 83: Input=[[0 0 1 1] [1 1 1 0] [0 1 1 0] [1 1 0 0]], Label=3
Sample 84: Input=[[1 1 0 1] [1 0 1 0] [0 0 1 1] [1 0 1 1]], Label=8
Sample 85: Input=[[0 1 1 0] [0 0 1 1] [0 1 1 1] [0 1 0 1]], Label=0
Sample 86: Input=[[0 0 0 1] [1 1 1 1] [0 0 1 1] [0 1 0 0]], Label=2
Sample 87: Input=[[1 1 1 0] [1 0 0 0] [1 0 1 0] [1 0 0 0]], Label=2
Sample 88: Input=[[1 0 1 1] [0 1 0 1] [1 1 1 0] [1 0 0 0]], Label=5
Sample 89: Input=[[1 0 1 0] [1 1 0 1] [1 0 1 0] [0 1 1 0]], Label=2
Sample 90: Input=[[0 1 0 1] [1 0 0 1] [1 1 1 1] [1 1 0 1]], Label=0
Sample 91: Input=[[1 0 1 0] [0 0 0 0] [1 1 0 0] [0 1 1 1]], Label=0
Sample 92: Input=[[0 0 1 0] [1 1 1 1] [1 0 1 0] [0 0 0 0]], Label=5
Sample 93: Input=[[0 1 1 1] [0 0 1 1] [0 1 0 0] [1 0 0 1]], Label=2
Sample 94: Input=[[1 1 1 1] [1 0 1 0] [1 0 1 1] [0 0 1 0]], Label=3
Sample 95: Input=[[1 1 0 1] [1 0 1 1] [0 1 1 1] [0 1 0 1]], Label=2
Sample 96: Input=[[1 0 0 1] [1 0 1 1] [1 1 1 1] [0 1 0 0]], Label=4
Sample 97: Input=[[0 1 1 0] [1 0 0 1] [1 1 0 0] [1 1 0 0]], Label=5
Sample 98: Input=[[1 1 1 0] [0 1 0 0] [0 1 0 0] [1 1 0 0]], Label=2
Sample 99: Input=[[1 1 1 0] [0 0 1 0] [1 1 1 1] [1 0 1 0]], Label=2
Sample 100: Input=[[1 1 1 1] [0 0 0 0] [1 1 1 0] [0 0 1 0]], Label=4
Sample 101: Input=[[1 1 1 0] [1 1 1 1] [0 1 1 1] [1 0 1 1]], Label=3
Sample 102: Input=[[0 1 0 0] [0 1 1 1] [1 1 0 0] [1 0 1 1]], Label=5
Sample 103: Input=[[0 0 1 0] [0 0 1 1] [1 0 1 1] [0 1 1 0]], Label=7
Sample 104: Input=[[0 1 0 1] [1 1 0 0] [0 1 1 0] [1 0 1 1]], Label=3
Sample 105: Input=[[1 0 0 1] [0 0 1 1] [1 1 0 1] [0 0 0 0]], Label=1
Sample 106: Input=[[1 0 0 0] [0 1 0 1] [1 1 0 0] [0 1 1 1]], Label=4
Sample 107: Input=[[1 0 0 0] [1 0 1 0] [0 0 1 1] [0 0 1 1]], Label=3
Sample 108: Input=[[0 1 0 1] [0 0 1 0] [0 0 1 0] [1 1 0 1]], Label=5
Sample 109: Input=[[0 0 0 0] [0 0 1 0] [0 0 0 0] [1 1 0 1]], Label=3
Sample 110: Input=[[1 1 1 1] [1 0 1 1] [0 0 1 1] [1 1 1 1]], Label=1
Sample 111: Input=[[0 1 1 0] [1 0 1 0] [0 0 1 0] [0 1 1 1]], Label=7
Sample 112: Input=[[1 1 0 0] [1 1 1 0] [1 0 0 1] [1 0 1 0]], Label=6
Sample 113: Input=[[0 1 1 1] [1 1 0 0] [0 1 1 0] [0 0 1 1]], Label=6
Sample 114: Input=[[1 1 0 0] [0 0 0 0] [1 0 0 1] [1 1 1 1]], Label=6
Sample 115: Input=[[0 1 1 0] [1 1 0 0] [0 0 1 1] [0 1 0 0]], Label=8
Sample 116: Input=[[0 1 1 0] [1 0 0 1] [1 1 0 1] [0 1 0 0]], Label=3
Sample 117: Input=[[1 1 0 0] [0 1 0 1] [0 1 0 1] [0 1 1 1]], Label=2
Sample 118: Input=[[0 0 0 0] [0 1 1 1] [0 0 1 1] [0 0 0 0]], Label=4
Sample 119: Input=[[0 0 1 1] [0 0 0 1] [1 0 1 0] [0 0 1 0]], Label=2
Sample 120: Input=[[0 1 0 1] [0 0 0 0] [0 1 0 0] [1 1 1 1]], Label=5
Sample 121: Input=[[0 1 1 0] [1 0 1 0] [1 1 1 0] [0 1 0 1]], Label=7
Sample 122: Input=[[1 0 1 0] [0 1 1 1] [1 0 1 0] [0 1 1 1]], Label=1
Sample 123: Input=[[0 0 0 0] [0 0 1 0] [0 1 0 0] [0 1 1 0]], Label=7
Sample 124: Input=[[1 0 0 0] [0 1 0 1] [1 1 0 1] [0 1 1 1]], Label=2
Sample 125: Input=[[1 0 0 0] [0 0 0 1] [1 1 0 1] [1 0 1 1]], Label=8
Sample 126: Input=[[1 1 0 1] [1 1 0 1] [0 1 0 0] [0 1 0 0]], Label=6
Sample 127: Input=[[0 1 0 0] [0 1 1 1] [1 0 1 1] [1 1 0 0]], Label=1
Sample 128: Input=[[1 0 0 1] [0 0 0 0] [1 1 0 0] [1 0 0 1]], Label=2
Sample 129: Input=[[1 1 1 1] [0 1 1 1] [1 0 1 0] [1 0 1 1]], Label=3
Sample 130: Input=[[0 0 1 0] [1 0 1 0] [0 0 0 1] [1 1 0 1]], Label=0
Sample 131: Input=[[0 1 0 1] [0 1 0 0] [0 0 0 0] [1 0 0 0]], Label=3
Sample 132: Input=[[1 1 1 0] [1 0 1 0] [1 0 1 1] [0 1 1 0]], Label=5
Sample 133: Input=[[0 1 1 0] [1 1 1 0] [0 0 0 0] [1 1 1 1]], Label=6
Sample 134: Input=[[0 0 1 1] [1 0 1 1] [1 0 1 1] [1 1 1 1]], Label=1
Sample 135: Input=[[1 1 1 0] [1 1 1 1] [1 1 0 1] [1 1 1 1]], Label=3
Sample 136: Input=[[0 1 1 1] [0 1 1 1] [1 1 0 0] [1 1 1 0]], Label=3
Sample 137: Input=[[1 1 1 1] [1 1 1 1] [0 0 0 0] [0 1 1 0]], Label=5
Sample 138: Input=[[0 1 1 1] [1 1 0 0] [1 0 1 1] [0 1 1 1]], Label=7
Sample 139: Input=[[0 1 1 1] [0 1 0 1] [0 1 1 0] [0 1 1 1]], Label=3
Sample 140: Input=[[0 1 0 1] [1 1 1 1] [1 0 0 1] [0 0 0 1]], Label=3
Sample 141: Input=[[1 1 1 1] [1 0 0 0] [0 1 1 0] [0 0 1 0]], Label=5
Sample 142: Input=[[0 1 0 1] [0 0 0 0] [1 0 0 0] [1 1 1 0]], Label=1
Sample 143: Input=[[0 0 1 0] [1 0 0 0] [1 0 0 1] [1 0 1 0]], Label=7
Sample 144: Input=[[1 0 0 1] [1 0 0 1] [0 1 1 1] [1 1 1 0]], Label=7
Sample 145: Input=[[0 0 0 1] [0 1 1 0] [0 1 1 0] [0 1 1 0]], Label=3
Sample 146: Input=[[0 1 0 0] [1 0 0 1] [0 1 1 1] [0 1 1 1]], Label=4
Sample 147: Input=[[1 1 1 0] [0 1 0 1] [0 1 0 0] [1 1 0 1]], Label=7
Sample 148: Input=[[0 0 1 0] [1 0 0 0] [0 1 0 1] [0 1 1 1]], Label=4
Sample 149: Input=[[0 1 1 1] [0 0 1 1] [0 0 0 1] [1 0 1 1]], Label=7
Sample 150: Input=[[1 0 0 0] [1 1 1 0] [0 1 0 1] [1 0 1 1]], Label=7
Sample 151: Input=[[1 1 0 0] [0 0 0 1] [0 0 1 1] [0 0 1 0]], Label=6
Sample 152: Input=[[1 1 1 0] [0 1 1 0] [1 1 1 1] [0 1 1 0]], Label=7
Sample 153: Input=[[1 1 1 0] [1 0 0 0] [1 0 1 0] [0 1 0 0]], Label=1
Sample 154: Input=[[0 1 0 1] [1 1 1 1] [0 0 1 1] [0 1 0 1]], Label=4
Sample 155: Input=[[0 1 1 1] [0 0 1 1] [0 1 0 0] [1 1 1 0]], Label=7
Sample 156: Input=[[0 0 0 0] [0 0 0 0] [1 0 1 0] [0 0 1 0]], Label=6
Sample 157: Input=[[1 0 1 0] [0 0 1 1] [0 0 1 0] [1 1 0 1]], Label=5
Sample 158: Input=[[0 1 1 1] [0 0 0 1] [1 1 1 0] [0 1 0 1]], Label=5
Sample 159: Input=[[1 1 1 0] [1 1 0 0] [1 1 1 1] [1 1 0 1]], Label=1
Sample 160: Input=[[1 1 1 1] [0 0 1 0] [0 0 1 0] [0 0 0 1]], Label=1
Sample 161: Input=[[1 0 1 1] [1 1 1 1] [0 1 1 0] [0 0 1 1]], Label=3
Sample 162: Input=[[0 0 0 1] [1 1 1 1] [1 0 1 0] [0 1 0 1]], Label=7
Sample 163: Input=[[1 1 0 1] [0 1 0 0] [1 0 0 1] [0 0 0 1]], Label=2
Sample 164: Input=[[1 1 1 1] [1 0 0 1] [1 0 0 1] [0 1 1 1]], Label=3
Sample 165: Input=[[0 0 0 0] [1 0 1 1] [1 1 0 0] [0 1 1 0]], Label=4
Sample 166: Input=[[0 1 0 1] [1 0 1 1] [0 0 1 0] [1 1 0 1]], Label=6
Sample 167: Input=[[0 0 1 0] [0 1 1 0] [0 1 1 0] [0 1 1 1]], Label=6
Sample 168: Input=[[0 1 0 1] [1 0 1 0] [0 1 1 0] [0 0 1 1]], Label=3
Sample 169: Input=[[0 1 1 0] [1 1 1 1] [1 0 1 0] [0 0 1 1]], Label=2
Sample 170: Input=[[0 0 0 1] [0 0 0 0] [1 1 1 0] [1 0 1 1]], Label=7
Sample 171: Input=[[1 1 0 1] [0 1 1 1] [1 0 0 1] [1 1 1 0]], Label=7
Sample 172: Input=[[1 1 1 1] [1 1 1 0] [1 0 1 1] [0 0 1 1]], Label=0
Sample 173: Input=[[1 1 1 1] [1 0 1 1] [1 1 1 0] [0 1 1 0]], Label=4
Sample 174: Input=[[1 0 1 1] [0 1 1 0] [0 1 1 1] [1 1 0 1]], Label=7
Sample 175: Input=[[0 1 0 1] [1 0 0 1] [0 0 1 0] [0 0 1 1]], Label=4
Sample 176: Input=[[1 1 0 1] [0 1 1 0] [0 0 0 1] [0 1 1 1]], Label=2
Sample 177: Input=[[0 1 0 1] [0 1 1 0] [0 1 1 0] [1 0 0 0]], Label=6
Sample 178: Input=[[0 0 1 0] [0 0 0 1] [0 0 1 1] [1 1 1 0]], Label=5
Sample 179: Input=[[1 1 0 0] [0 0 1 0] [0 1 0 1] [1 1 1 1]], Label=7
Sample 180: Input=[[1 0 0 0] [0 1 1 1] [1 1 0 0] [0 0 0 1]], Label=6
Sample 181: Input=[[0 1 1 1] [0 0 0 0] [0 0 1 0] [1 1 0 1]], Label=4
Sample 182: Input=[[1 1 1 1] [0 0 1 1] [0 1 0 1] [1 1 0 1]], Label=1
Sample 183: Input=[[0 0 1 1] [0 1 0 1] [0 0 1 1] [1 0 0 1]], Label=2
Sample 184: Input=[[1 0 0 1] [0 0 1 0] [1 1 0 1] [1 1 0 0]], Label=2
Sample 185: Input=[[1 1 0 1] [1 0 0 0] [0 0 1 1] [0 0 0 0]], Label=1
Sample 186: Input=[[1 1 0 1] [0 1 0 0] [0 1 1 0] [1 1 0 0]], Label=2
Sample 187: Input=[[1 1 0 0] [1 1 0 0] [0 0 1 1] [1 1 1 0]], Label=5
Sample 188: Input=[[0 1 1 1] [1 0 1 1] [0 0 1 0] [1 0 1 1]], Label=1
Sample 189: Input=[[1 0 0 0] [1 1 1 1] [0 1 0 0] [1 1 0 1]], Label=3
Sample 190: Input=[[0 0 0 1] [0 0 1 1] [0 0 1 0] [0 1 0 1]], Label=8
Sample 191: Input=[[0 1 0 1] [0 0 1 1] [1 0 1 1] [0 0 0 0]], Label=6
Sample 192: Input=[[1 0 1 0] [1 1 1 1] [1 0 0 1] [1 0 0 1]], Label=3
Sample 193: Input=[[1 1 1 1] [0 1 1 0] [1 0 0 1] [1 0 0 1]], Label=3
Sample 194: Input=[[0 0 0 0] [0 0 1 1] [0 0 0 0] [0 1 0 1]], Label=5
Sample 195: Input=[[0 1 1 1] [1 1 1 1] [0 1 1 1] [1 1 0 0]], Label=1
Sample 196: Input=[[1 0 1 1] [0 0 1 0] [1 0 1 0] [0 1 0 1]], Label=4
Sample 197: Input=[[1 0 0 0] [1 1 1 1] [0 1 0 1] [1 1 0 0]], Label=7
Sample 198: Input=[[1 0 0 1] [1 1 1 0] [0 1 0 1] [1 1 1 0]], Label=1
Sample 199: Input=[[0 1 0 0] [1 1 1 0] [1 0 1 1] [1 1 1 0]], Label=6
Sample 200: Input=[[1 1 1 1] [1 1 0 1] [1 1 0 0] [1 0 0 1]], Label=6
Sample 201: Input=[[0 0 1 0] [0 0 1 1] [1 0 1 1] [1 0 0 1]], Label=7
Sample 202: Input=[[0 0 1 1] [1 1 0 0] [0 1 1 0] [1 1 1 0]], Label=8
Sample 203: Input=[[1 0 0 0] [1 1 0 1] [1 1 1 0] [1 0 0 1]], Label=5
Sample 204: Input=[[1 1 1 0] [0 0 0 0] [0 0 1 1] [1 0 0 0]], Label=4
Sample 205: Input=[[1 0 1 1] [1 0 1 0] [0 0 0 1] [1 1 0 1]], Label=7
Sample 206: Input=[[0 1 1 1] [0 0 0 1] [0 0 0 0] [0 1 1 0]], Label=8
Sample 207: Input=[[0 1 1 0] [1 0 1 1] [0 0 0 1] [1 0 0 0]], Label=3
Sample 208: Input=[[0 1 0 1] [0 1 0 1] [1 1 0 0] [1 1 0 1]], Label=2
Sample 209: Input=[[1 1 1 1] [0 1 0 0] [1 1 0 1] [0 1 0 0]], Label=5
Sample 210: Input=[[0 0 1 1] [1 1 1 0] [1 1 1 1] [0 1 1 1]], Label=7
Sample 211: Input=[[1 0 0 0] [0 1 1 1] [1 0 1 1] [1 0 0 0]], Label=3
Sample 212: Input=[[1 0 1 0] [0 0 1 1] [1 0 1 0] [1 0 1 0]], Label=8
Sample 213: Input=[[1 0 1 0] [0 0 1 1] [1 0 1 0] [0 0 1 0]], Label=5
Sample 214: Input=[[0 0 0 1] [1 0 1 0] [1 1 1 0] [0 1 1 1]], Label=4
Sample 215: Input=[[1 0 0 1] [0 0 1 0] [1 1 1 1] [0 1 1 1]], Label=5
Sample 216: Input=[[1 1 1 1] [1 1 1 0] [0 0 0 1] [1 0 0 0]], Label=6
Sample 217: Input=[[0 0 1 1] [0 0 1 1] [0 1 0 1] [1 1 0 1]], Label=2
Sample 218: Input=[[1 1 1 0] [0 0 1 1] [0 0 0 0] [0 1 0 1]], Label=7
Sample 219: Input=[[1 1 0 0] [1 1 0 0] [1 0 0 1] [1 0 1 1]], Label=8
Sample 220: Input=[[1 0 1 0] [1 1 0 0] [1 0 1 1] [0 0 0 0]], Label=2
Sample 221: Input=[[1 1 0 1] [0 0 0 0] [1 1 0 1] [1 0 1 1]], Label=1
Sample 222: Input=[[1 0 1 0] [1 0 0 1] [0 1 0 1] [0 0 1 0]], Label=6
Sample 223: Input=[[1 0 1 0] [1 0 0 1] [0 0 1 1] [1 1 0 0]], Label=5
Sample 224: Input=[[0 1 0 0] [0 0 1 0] [0 1 0 1] [0 0 0 0]], Label=0
Sample 225: Input=[[1 0 1 0] [0 0 0 0] [1 1 0 0] [1 1 0 0]], Label=4
Sample 226: Input=[[0 1 1 0] [0 0 0 0] [0 1 1 0] [0 1 0 1]], Label=3
Sample 227: Input=[[0 0 0 1] [1 0 0 0] [1 1 1 0] [1 0 1 0]], Label=7
Sample 228: Input=[[0 0 0 0] [0 0 1 1] [1 1 0 0] [1 0 1 0]], Label=8
Sample 229: Input=[[1 1 1 1] [1 0 1 0] [0 0 1 1] [1 0 0 0]], Label=0
Sample 230: Input=[[1 0 0 0] [0 1 1 1] [0 1 1 1] [0 0 1 0]], Label=6
Sample 231: Input=[[0 1 1 1] [1 1 1 0] [0 0 0 1] [1 0 1 1]], Label=6
Sample 232: Input=[[1 1 1 0] [1 0 0 1] [0 1 1 1] [0 0 1 1]], Label=1
Sample 233: Input=[[1 1 0 1] [0 0 0 1] [0 0 1 1] [0 1 1 1]], Label=5
Sample 234: Input=[[1 1 0 0] [0 1 1 0] [0 0 1 1] [1 0 1 1]], Label=0
Sample 235: Input=[[0 1 0 1] [1 1 0 0] [1 1 0 1] [1 1 0 0]], Label=2
Sample 236: Input=[[0 1 1 1] [0 1 1 1] [0 1 1 0] [1 1 1 1]], Label=5
Sample 237: Input=[[1 0 0 0] [0 0 0 0] [0 1 0 1] [1 1 1 1]], Label=6
Sample 238: Input=[[1 1 0 0] [0 0 0 1] [0 0 1 1] [0 0 1 0]], Label=3
Sample 239: Input=[[0 0 0 0] [1 1 1 1] [1 1 0 1] [1 0 1 1]], Label=1
Sample 240: Input=[[0 1 1 0] [0 1 0 1] [1 0 0 1] [0 0 1 1]], Label=7
Sample 241: Input=[[1 1 0 1] [0 1 1 1] [1 1 1 0] [0 0 1 1]], Label=1
Sample 242: Input=[[0 1 1 0] [0 0 0 1] [1 0 1 1] [1 1 0 0]], Label=5
Sample 243: Input=[[1 1 1 1] [1 1 0 1] [1 1 1 0] [1 1 1 0]], Label=5
Sample 244: Input=[[0 0 0 0] [0 0 0 0] [1 1 0 1] [0 1 0 1]], Label=6
Sample 245: Input=[[1 0 1 0] [0 1 1 0] [1 1 0 1] [1 1 1 0]], Label=2
Sample 246: Input=[[0 0 1 0] [1 0 1 0] [0 1 1 1] [0 1 1 0]], Label=4
Sample 247: Input=[[1 1 1 1] [1 1 1 0] [1 1 1 0] [1 1 1 0]], Label=7
Sample 248: Input=[[1 1 1 0] [0 0 1 0] [0 0 0 0] [1 0 0 0]], Label=2
Sample 249: Input=[[1 0 1 0] [1 1 1 1] [0 0 1 0] [0 0 0 1]], Label=1
Sample 250: Input=[[0 1 0 1] [0 0 1 0] [0 0 0 0] [0 0 1 1]], Label=6
Sample 251: Input=[[0 1 0 0] [0 1 0 1] [0 1 0 0] [1 1 0 1]], Label=7
Sample 252: Input=[[0 1 0 1] [0 0 0 0] [0 1 1 0] [0 0 0 0]], Label=7
Sample 253: Input=[[0 1 1 1] [1 0 0 1] [1 1 1 1] [0 1 0 0]], Label=1
Sample 254: Input=[[1 0 0 1] [1 1 1 1] [1 1 1 1] [1 1 0 1]], Label=6
Sample 255: Input=[[1 1 1 1] [0 0 1 0] [1 1 1 0] [0 0 1 1]], Label=4
Sample 256: Input=[[1 0 0 0] [0 0 0 0] [1 1 0 0] [1 1 1 1]], Label=5
Sample 257: Input=[[1 0 1 0] [1 0 0 0] [0 0 1 1] [0 0 0 1]], Label=7
Sample 258: Input=[[0 1 0 0] [0 1 0 1] [0 0 0 0] [1 0 1 1]], Label=3
Sample 259: Input=[[0 1 1 0] [1 0 1 1] [0 1 0 1] [1 1 0 0]], Label=8
Sample 260: Input=[[1 0 0 0] [0 0 1 1] [0 0 0 1] [1 0 0 1]], Label=3
Sample 261: Input=[[0 0 0 0] [0 0 0 0] [1 0 0 0] [1 0 1 1]], Label=7
Sample 262: Input=[[1 1 0 0] [1 1 1 1] [0 0 1 1] [1 1 0 0]], Label=2
Sample 263: Input=[[0 1 0 1] [1 1 1 1] [0 0 1 1] [0 1 0 1]], Label=4
Sample 264: Input=[[0 0 0 0] [1 0 1 1] [1 0 1 0] [1 1 1 1]], Label=2
Sample 265: Input=[[1 1 0 1] [0 0 0 1] [1 0 1 1] [1 0 0 0]], Label=1
Sample 266: Input=[[0 0 0 0] [0 0 0 1] [1 1 0 0] [0 0 1 0]], Label=3
Sample 267: Input=[[1 1 0 1] [0 0 1 1] [1 1 0 1] [1 0 0 1]], Label=1
